Date,^GSPC
2020-06-08,3232.3900
2020-06-09,3207.1800
2020-06-10,3190.1400
2020-06-11,3002.1000
2020-06-12,3041.3100
2020-06-15,3066.5900
2020-06-16,3124.7400
2020-06-17,3113.4900
2020-06-18,3115.3400
2020-06-19,3097.7400
2020-06-22,3117.8600
2020-06-23,3131.2900
2020-06-24,3050.3300
2020-06-25,3083.7600
2020-06-26,3009.0500
2020-06-29,3053.2400
2020-06-30,3100.2900
2020-07-01,3115.8600
2020-07-02,3130.0100
2020-07-06,3179.7200
2020-07-07,3145.3200
2020-07-08,3169.9400
2020-07-09,3152.0500
2020-07-10,3185.0400
2020-07-13,3155.2200
2020-07-14,3197.5200
2020-07-15,3226.5600
2020-07-16,3215.5700
2020-07-17,3224.7300
2020-07-20,3251.8400
2020-07-21,3257.3000
2020-07-22,3276.0200
2020-07-23,3235.6600
2020-07-24,3215.6300
2020-07-27,3239.4100
2020-07-28,3218.4400
2020-07-29,3258.4400
2020-07-30,3246.2200
2020-07-31,3271.1200
2020-08-03,3294.6100
2020-08-04,3306.5100
2020-08-05,3327.7700
2020-08-06,3349.1600
2020-08-07,3351.2800
2020-08-10,3360.4700
2020-08-11,3333.6900
2020-08-12,3380.3500
2020-08-13,3373.4300
2020-08-14,3372.8500
2020-08-17,3381.9900
2020-08-18,3389.7800
2020-08-19,3374.8500
2020-08-20,3385.5100
2020-08-21,3397.1600
2020-08-24,3431.2800
2020-08-25,3443.6200
2020-08-26,3478.7300
2020-08-27,3484.5500
2020-08-28,3508.0100
2020-08-31,3500.3100
2020-09-01,3526.6500
2020-09-02,3580.8400
2020-09-03,3455.0600
2020-09-04,3426.9600
2020-09-08,3331.8400
2020-09-09,3398.9600
2020-09-10,3339.1900
2020-09-11,3340.9700
2020-09-14,3383.5400
2020-09-15,3401.2000
2020-09-16,3385.4900
2020-09-17,3357.0100
2020-09-18,3319.4700
2020-09-21,3281.0600
2020-09-22,3315.5700
2020-09-23,3236.9200
2020-09-24,3246.5900
2020-09-25,3298.4600
2020-09-28,3351.6000
2020-09-29,3335.4700
2020-09-30,3363.0000
2020-10-01,3380.8000
2020-10-02,3348.4400
2020-10-05,3408.6300
2020-10-06,3360.9500
2020-10-07,3419.4500
2020-10-08,3446.8300
2020-10-09,3477.1300
2020-10-12,3534.2200
2020-10-13,3511.9300
2020-10-14,3488.6700
2020-10-15,3483.3400
2020-10-16,3483.8100
2020-10-19,3426.9200
2020-10-20,3443.1200
2020-10-21,3435.5600
2020-10-22,3453.4900
2020-10-23,3465.3900
2020-10-26,3400.9700
2020-10-27,3390.6800
2020-10-28,3271.0300
2020-10-29,3310.1100
2020-10-30,3269.9600
2020-11-02,3310.2400
2020-11-03,3369.1600
2020-11-04,3443.4400
2020-11-05,3510.4500
2020-11-06,3509.4400
2020-11-09,3550.5000
2020-11-10,3545.5300
2020-11-11,3572.6600
2020-11-12,3537.0100
2020-11-13,3585.1500
2020-11-16,3626.9100
2020-11-17,3609.5300
2020-11-18,3567.7900
2020-11-19,3581.8700
2020-11-20,3557.5400
2020-11-23,3577.5900
2020-11-24,3635.4100
2020-11-25,3629.6500
2020-11-27,3638.3500
2020-11-30,3621.6300
2020-12-01,3662.4500
2020-12-02,3669.0100
2020-12-03,3666.7200
2020-12-04,3699.1200
2020-12-07,3691.9600
2020-12-08,3702.2500
2020-12-09,3672.8200
2020-12-10,3668.1000
2020-12-11,3663.4600
2020-12-14,3647.4900
2020-12-15,3694.6200
2020-12-16,3701.1700
2020-12-17,3722.4800
2020-12-18,3709.4100
2020-12-21,3694.9200
2020-12-22,3687.2600
2020-12-23,3690.0100
2020-12-24,3703.0600
2020-12-28,3735.3600
2020-12-29,3727.0400
2020-12-30,3732.0400
2020-12-31,3756.0700
2021-01-04,3700.6500
2021-01-05,3726.8600
2021-01-06,3748.1400
2021-01-07,3803.7900
2021-01-08,3824.6800
